Gold market premium/discount data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indian Premium/Discount (US$/oz),,,,"The Indian premium/discount data is sourced from NCDEX (one of the commodity exchanges in India), which started publishing this data from 21 May 2015. Prior to that, premium/discount was calculated using the 'Premia Sheet-Old' worksheet. More information can be found in the accompanying metholdogy note. *Polled Premium for 995 Gold at Ahmedabad in USD/troy oz.",,,,,,,,,
Source: MCX; RBI; NCDEX; World Gold Council,,,,,,,,,,,,,
,,,,,,,,,,,,,
2012-01-18,-11.9,,,,,,,,,,,,
2012-01-19,-1.9,,,,,,,,,,,,
2012-01-20,-1.0,,,,,,,,,,,,
2012-01-23,-8.0,,,,,,,,,,,,
2012-01-24,-3.3,,,,,,,,,,,,
2012-01-25,-3.9,,,,,,,,,,,,
2012-01-26,-3.9,,,,,,,,,,,,
2012-01-27,-11.9,,,,,,,,,,,,
2012-01-30,0.0,,,,,,,,,,,,
2012-01-31,-13.6,,,,,,,,,,,,
2012-02-01,-11.2,,,,,,,,,,,,
2012-02-02,-5.3,,,,,,,,,,,,
2012-02-03,-10.9,,,,,,,,,,,,
2012-02-06,11.0,,,,,,,,,,,,
2012-02-07,-3.5,,,,,,,,,,,,
2012-02-08,2.1,,,,,,,,,,,,
2012-02-09,1.1,,,,,,,,,,,,
2012-02-10,-4.0,,,,,,,,,,,,
2012-02-13,-7.6,,,,,,,,,,,,
2012-02-14,-7.9,,,,,,,,,,,,
2012-02-15,-4.0,,,,,,,,,,,,
2012-02-16,-4.0,,,,,,,,,,,,
2012-02-17,-6.9,,,,,,,,,,,,
2012-02-20,-6.9,,,,,,,,,,,,
2012-02-21,-0.7,,,,,,,,,,,,
2012-02-22,-5.9,,,,,,,,,,,,
2012-02-23,-9.2,,,,,,,,,,,,
2012-02-24,-5.7,,,,,,,,,,,,
2012-02-27,4.0,,,,,,,,,,,,
2012-02-28,-5.5,,,,,,,,,,,,
2012-02-29,-7.0,,,,,,,,,,,,
2012-03-01,-8.1,,,,,,,,,,,,
2012-03-02,-0.9,,,,,,,,,,,,
2012-03-05,-5.5,,,,,,,,,,,,
2012-03-06,4.1,,,,,,,,,,,,
2012-03-07,-17.2,,,,,,,,,,,,
2012-03-08,-17.2,,,,,,,,,,,,
2012-03-09,-10.5,,,,,,,,,,,,
2012-03-12,-6.1,,,,,,,,,,,,
2012-03-13,-4.6,,,,,,,,,,,,
2012-03-14,0.2,,,,,,,,,,,,
2012-03-15,0.2,,,,,,,,,,,,
2012-03-16,-15.2,,,,,,,,,,,,
2012-03-19,-14.1,,,,,,,,,,,,
2012-03-20,-12.8,,,,,,,,,,,,
2012-03-21,-31.3,,,,,,,,,,,,
2012-03-22,-21.3,,,,,,,,,,,,
