country,city,latitude,longitude,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipType,temperatureMax,temperatureMin,apparentTemperatureMax,apparentTemperatureMin,windSpeed,timezone
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,10/03/2019 07:36 AM,10/03/2019 07:18 PM,0.13,8.0E-4,rain,54.11,32.67,54.11,29.16,7.08,
United States,Broadway,38.61,-78.8,Snow (< 1 in.) starting in the evening.,snow,09/03/2019 06:37 AM,09/03/2019 06:17 PM,0.1,0.0029,snow,31.49,25.59,31.0,20.61,0.72,
United States,Broadway,38.61,-78.8,"Foggy starting in the afternoon, continuing until evening.",fog,08/03/2019 06:39 AM,08/03/2019 06:16 PM,0.06,0.0013,snow,25.57,19.82,25.57,19.82,0.54,
United States,Broadway,38.61,-78.8,Mostly cloudy until afternoon.,partly-cloudy-day,07/03/2019 06:40 AM,07/03/2019 06:15 PM,0.03,1.0E-4,snow,27.74,12.41,23.15,5.18,2.73,
United States,Broadway,38.61,-78.8,Mostly cloudy until afternoon.,partly-cloudy-day,06/03/2019 06:42 AM,06/03/2019 06:14 PM,0.01,1.0E-4,snow,15.15,4.72,11.12,-5.81,4.21,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the evening.,partly-cloudy-night,05/03/2019 06:43 AM,05/03/2019 06:13 PM,0.97,3.0E-4,snow,25.67,9.32,25.67,1.74,2.48,
United States,Broadway,38.61,-78.8,Snow (< 1 in.) in the afternoon.,snow,04/03/2019 06:45 AM,04/03/2019 06:12 PM,0.94,0.0016,snow,23.6,14.73,23.44,7.45,3.3,
United States,Broadway,38.61,-78.8,Foggy until evening.,fog,03/03/2019 06:46 AM,03/03/2019 06:11 PM,0.91,0.0055,snow,30.32,22.23,30.32,17.99,1.95,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,02/03/2019 06:48 AM,02/03/2019 06:10 PM,0.88,0.0017,snow,33.93,25.5,31.96,25.5,1.57,
United States,Broadway,38.61,-78.8,Snow (1–2 in.) in the evening and overnight.,snow,01/03/2019 06:49 AM,01/03/2019 06:09 PM,0.85,0.0056,snow,29.49,22.63,27.4,18.94,1.95,
United States,Broadway,38.61,-78.8,Foggy overnight.,fog,28/02/2019 06:51 AM,28/02/2019 06:08 PM,0.82,0.0,,37.52,27.04,35.94,20.84,2.79,
United States,Broadway,38.61,-78.8,Mostly cloudy overnight.,partly-cloudy-night,27/02/2019 06:52 AM,27/02/2019 06:07 PM,0.79,0.0,,46.19,20.87,44.61,20.87,1.82,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,26/02/2019 06:53 AM,26/02/2019 06:06 PM,0.75,1.0E-4,snow,44.14,21.34,44.14,20.39,1.12,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,25/02/2019 06:55 AM,25/02/2019 06:04 PM,0.72,1.0E-4,snow,34.68,23.16,30.7,13.6,6.53,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,24/02/2019 06:56 AM,24/02/2019 06:03 PM,0.69,0.0111,snow,53.4,32.9,53.4,23.88,5.32,
United States,Broadway,38.61,-78.8,Heavy snow (1–2 in.) overnight.,snow,23/02/2019 06:58 AM,23/02/2019 06:02 PM,0.65,9.0E-4,snow,32.79,26.87,32.79,26.87,1.11,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,22/02/2019 06:59 AM,22/02/2019 06:01 PM,0.62,1.0E-4,rain,36.24,30.31,36.24,30.31,0.56,
United States,Broadway,38.61,-78.8,Foggy in the morning.,fog,21/02/2019 07:00 AM,21/02/2019 06:00 PM,0.58,6.0E-4,rain,47.24,32.7,45.97,29.75,0.45,
United States,Broadway,38.61,-78.8,"Heavy snow (1–3 in.) until afternoon, starting again in the evening.",snow,20/02/2019 07:02 AM,20/02/2019 05:59 PM,0.54,0.0125,snow,35.0,19.24,35.0,13.45,1.71,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,19/02/2019 07:03 AM,19/02/2019 05:58 PM,0.51,0.0,,28.92,18.29,27.95,12.98,2.4,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,18/02/2019 07:04 AM,18/02/2019 05:57 PM,0.47,1.0E-4,snow,39.35,24.06,37.41,16.73,3.92,
United States,Broadway,38.61,-78.8,"Light snow starting in the afternoon, continuing until evening.",snow,17/02/2019 07:05 AM,17/02/2019 05:56 PM,0.43,0.0014,snow,37.61,17.84,32.54,17.84,2.37,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,16/02/2019 07:07 AM,16/02/2019 05:54 PM,0.39,0.0,,32.72,21.38,29.97,17.68,3.44,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,15/02/2019 07:08 AM,15/02/2019 05:53 PM,0.35,1.0E-4,rain,51.37,34.99,51.37,31.85,4.68,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the evening.,partly-cloudy-night,14/02/2019 07:09 AM,14/02/2019 05:52 PM,0.32,0.0,,40.15,24.93,39.09,18.39,3.11,
United States,Broadway,38.61,-78.8,Mostly cloudy until evening and windy overnight.,wind,13/02/2019 07:10 AM,13/02/2019 05:51 PM,0.28,0.001,snow,33.88,24.27,33.88,14.33,6.94,
United States,Broadway,38.61,-78.8,Heavy snow (1–3 in.) in the morning.,snow,12/02/2019 07:11 AM,12/02/2019 05:50 PM,0.25,0.0112,snow,36.28,26.26,36.28,26.26,0.63,
United States,Broadway,38.61,-78.8,Light snow in the afternoon.,snow,11/02/2019 07:13 AM,11/02/2019 05:49 PM,0.21,0.0035,snow,29.93,25.73,29.93,25.73,0.54,
United States,Broadway,38.61,-78.8,Overcast starting in the afternoon.,cloudy,10/02/2019 07:14 AM,10/02/2019 05:48 PM,0.18,5.0E-4,snow,29.17,15.63,29.17,15.63,1.18,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,09/02/2019 07:15 AM,09/02/2019 05:46 PM,0.15,0.0,,23.73,11.99,23.73,3.56,3.52,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,08/02/2019 07:16 AM,08/02/2019 05:45 PM,0.12,0.0014,rain,49.94,21.91,49.59,16.72,3.41,
