country,city,latitude,longitude,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipType,temperatureMax,temperatureMin,apparentTemperatureMax,apparentTemperatureMin,windSpeed,timezone
United States,Douglass Hills,38.24,-85.55,Rain until evening and windy starting in the afternoon.,rain,09/03/2019 07:06 AM,09/03/2019 06:48 PM,0.1,0.0419,rain,63.15,37.89,63.39,31.32,8.27,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,10/03/2019 08:05 AM,10/03/2019 07:49 PM,0.13,1.0E-4,rain,56.59,40.26,56.59,33.66,9.34,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy until afternoon.,partly-cloudy-day,11/03/2019 08:04 AM,11/03/2019 07:49 PM,0.16,1.0E-4,rain,54.74,32.55,54.74,29.35,4.61,
United States,Douglass Hills,38.24,-85.55,Overcast throughout the day.,cloudy,12/03/2019 08:02 AM,12/03/2019 07:50 PM,0.19,3.0E-4,rain,56.28,31.55,56.28,26.31,6.62,
United States,Douglass Hills,38.24,-85.55,Overcast throughout the day and windy starting in the afternoon.,wind,13/03/2019 08:01 AM,13/03/2019 07:51 PM,0.23,2.0E-4,rain,71.31,42.57,71.31,37.4,12.36,
United States,Douglass Hills,38.24,-85.55,Windy until evening and mostly cloudy until afternoon.,wind,14/03/2019 07:59 AM,14/03/2019 07:52 PM,0.27,0.0017,rain,71.41,57.81,71.41,57.81,17.44,
United States,Douglass Hills,38.24,-85.55,Partly cloudy overnight.,partly-cloudy-night,15/03/2019 07:58 AM,15/03/2019 07:53 PM,0.3,2.0E-4,rain,56.42,39.82,56.42,33.49,8.43,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,16/03/2019 07:56 AM,16/03/2019 07:54 PM,0.34,0.0,,47.11,31.63,43.35,25.65,7.02,
United States,Douglass Hills,38.24,-85.55,Partly cloudy starting in the afternoon.,partly-cloudy-night,17/03/2019 07:54 AM,17/03/2019 07:55 PM,0.38,1.0E-4,rain,46.23,26.93,42.22,22.12,0.98,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,18/03/2019 07:53 AM,18/03/2019 07:56 PM,0.41,0.0013,rain,53.82,34.29,53.82,28.32,1.64,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,19/03/2019 07:51 AM,19/03/2019 07:57 PM,0.45,0.005,rain,55.61,41.19,55.61,41.19,1.66,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,20/03/2019 07:50 AM,20/03/2019 07:58 PM,0.48,0.0051,rain,56.0,41.57,56.0,41.57,1.65,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,21/03/2019 07:48 AM,21/03/2019 07:59 PM,0.53,0.0051,rain,56.38,41.95,56.38,41.95,1.64,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,22/03/2019 07:47 AM,22/03/2019 08:00 PM,0.57,0.0052,rain,56.75,42.33,56.75,42.33,1.62,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day.,partly-cloudy-day,23/03/2019 07:45 AM,23/03/2019 08:01 PM,0.6,0.0053,rain,57.13,42.7,57.13,42.7,1.61,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,24/03/2019 07:44 AM,24/03/2019 08:01 PM,0.63,0.0053,rain,57.51,43.08,57.51,43.08,1.6,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,25/03/2019 07:42 AM,25/03/2019 08:02 PM,0.67,0.0054,rain,57.89,43.46,57.89,43.46,1.59,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,26/03/2019 07:41 AM,26/03/2019 08:03 PM,0.7,0.0054,rain,58.26,43.83,58.26,43.83,1.58,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,27/03/2019 07:39 AM,27/03/2019 08:04 PM,0.73,0.0055,rain,58.64,44.21,58.64,44.21,1.57,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,28/03/2019 07:38 AM,28/03/2019 08:05 PM,0.77,0.0055,rain,59.01,44.58,59.01,44.58,1.56,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,29/03/2019 07:36 AM,29/03/2019 08:06 PM,0.8,0.0056,rain,59.38,44.95,59.38,44.95,1.56,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,30/03/2019 07:34 AM,30/03/2019 08:07 PM,0.83,0.0056,rain,59.75,45.32,59.75,45.32,1.55,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,31/03/2019 07:33 AM,31/03/2019 08:08 PM,0.86,0.0057,rain,60.12,45.69,60.12,45.69,1.54,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,01/04/2019 07:31 AM,01/04/2019 08:09 PM,0.89,0.0057,rain,60.49,46.05,60.49,46.05,1.54,
United States,Douglass Hills,38.24,-85.55,Partly cloudy throughout the day.,partly-cloudy-day,02/04/2019 07:30 AM,02/04/2019 08:10 PM,0.92,0.0057,rain,60.85,46.41,60.85,46.41,1.53,
United States,Douglass Hills,38.24,-85.55,Heavy rain in the morning and afternoon.,rain,12/02/2019 07:40 AM,12/02/2019 06:22 PM,0.25,0.0529,rain,56.69,32.74,56.76,25.35,8.29,
United States,Douglass Hills,38.24,-85.55,Partly cloudy in the evening.,partly-cloudy-night,13/02/2019 07:38 AM,13/02/2019 06:23 PM,0.28,0.0,,42.61,28.01,37.76,17.85,8.35,
United States,Douglass Hills,38.24,-85.55,Mostly cloudy throughout the day and breezy in the afternoon.,wind,14/02/2019 07:37 AM,14/02/2019 06:24 PM,0.32,0.0,,57.38,38.46,57.38,31.06,12.34,
United States,Douglass Hills,38.24,-85.55,Overcast throughout the day.,cloudy,15/02/2019 07:36 AM,15/02/2019 06:25 PM,0.36,0.0015,rain,53.01,28.54,53.01,22.48,4.8,
United States,Douglass Hills,38.24,-85.55,Light rain until afternoon.,rain,16/02/2019 07:35 AM,16/02/2019 06:26 PM,0.39,0.0028,snow,41.29,26.83,36.64,18.76,6.51,
