city,lat,lng,country
Malisheve,42.48,20.75,Kosovo
Prizren,42.21,20.74,Kosovo
Zubin Potok,42.91,20.69,Kosovo
Kamenice,42.58,21.58,Kosovo
Viti,42.32,21.36,Kosovo
Shterpce,42.24,21.03,Kosovo
Shtime,42.43,21.04,Kosovo
Vushtrri,42.82,20.97,Kosovo
Dragash,42.03,20.65,Kosovo
Podujeve,42.91,21.19,Kosovo
Fushe Kosove,42.66,21.10,Kosovo
Kacanik,42.23,21.26,Kosovo
Kline,42.62,20.58,Kosovo
Leposaviq,43.10,20.80,Kosovo
Peje,42.66,20.29,Kosovo
Rahovec,42.40,20.65,Kosovo
Gjilan,42.47,21.46,Kosovo
Lipjan,42.52,21.13,Kosovo
Obiliq,42.69,21.07,Kosovo
Gjakove,42.38,20.43,Kosovo
Pristina,42.67,21.17,Kosovo
Decan,42.54,20.29,Kosovo
Istog,42.78,20.49,Kosovo
Hani i Elezit,42.15,21.30,Kosovo
Junik,42.48,20.28,Kosovo
Kllokot,42.37,21.37,Kosovo
Mamushe,42.33,20.73,Kosovo
Partesh,42.40,21.43,Kosovo
Ranillug,42.49,21.60,Kosovo
Ferizaj,42.37,21.16,Kosovo
Zvecan,42.91,20.84,Kosovo
Suhareke,42.36,20.83,Kosovo
Gllogovc,42.63,20.89,Kosovo
Mitrovice,42.88,20.87,Kosovo
Skenderaj,42.75,20.79,Kosovo
Novoberde,42.62,21.42,Kosovo
Gracanice,42.60,21.20,Kosovo
Longyearbyen,78.22,15.63,Svalbard
Sanaa,15.35,44.21,Yemen
Marib,15.42,45.33,Yemen
Al Jabin,14.70,43.60,Yemen
Hajjah,15.69,43.60,Yemen
Ibb,13.98,44.17,Yemen
Al Hudaydah,14.80,42.95,Yemen
Lahij,13.06,44.88,Yemen
Al Mahwit,15.47,43.54,Yemen
Taizz,13.60,44.04,Yemen
Sadah,16.94,43.85,Yemen
Dhamar,14.56,44.39,Yemen
`Amran,15.66,43.94,Yemen
Ad Dali`,13.70,44.73,Yemen
Saywun,15.94,48.79,Yemen
Al Bayda,13.98,45.57,Yemen
Zinjibar,13.13,45.38,Yemen
Rida,14.43,44.83,Yemen
'Ataq,14.55,46.80,Yemen
Al Ghaydah,16.24,52.16,Yemen
Sayhut,15.21,51.25,Yemen
Al Mukalla,14.54,49.13,Yemen
Al Hazm,16.16,44.78,Yemen
Zabid,14.20,43.32,Yemen
Aden,12.78,45.01,Yemen
Hadiboh,12.65,54.02,Yemen
Ash Shihr,14.76,49.61,Yemen
Dzaoudzi,-12.79,45.28,Mayotte
Pretoria,-25.71,28.23,South Africa
Lebowakgomo,-24.20,29.50,South Africa
Potchefstroom,-26.70,27.10,South Africa
Graaff Reinet,-32.30,24.54,South Africa
Rustenburg,-25.65,27.24,South Africa
Brandfort,-28.70,26.47,South Africa
Vryheid,-27.76,30.79,South Africa
Vereeniging,-26.65,27.96,South Africa
Brits,-25.63,27.78,South Africa
Bethlehem,-28.22,28.30,South Africa
Ubomba,-27.57,32.08,South Africa
Polokwane,-23.89,29.45,South Africa
Springbok,-29.67,17.88,South Africa
Thohoyandou,-22.95,30.48,South Africa
Pietermaritzburg,-29.61,30.39,South Africa
Poffader,-29.13,19.38,South Africa
Carnarvon,-30.95,22.13,South Africa
Kroonstad,-27.66,27.21,South Africa
Alexander Bay,-28.61,16.50,South Africa
Bloemhof,-27.65,25.59,South Africa
Hermanus,-34.41,19.23,South Africa
Bethal,-26.47,29.45,South Africa
Upington,-28.46,21.23,South Africa
Tzaneen,-23.82,30.17,South Africa
Vanhynsdorp,-31.62,18.73,South Africa
Musina,-22.34,30.03,South Africa
Kimberley,-28.75,24.77,South Africa
Durban,-29.87,30.98,South Africa
Klerksdorp,-26.88,26.62,South Africa
Welkom,-27.97,26.73,South Africa
De Aar,-30.65,24.00,South Africa
Prieska,-29.66,22.73,South Africa
Saldanha,-33.01,17.93,South Africa
Middelburg,-31.50,25.01,South Africa
Port St. Johns,-31.63,29.53,South Africa
Volksrust,-27.36,29.89,South Africa
Ulundi,-28.33,31.41,South Africa
Beaufort West,-32.35,22.57,South Africa
Komatipoort,-25.41,31.94,South Africa
Nelspruit,-25.47,30.97,South Africa
Standerton,-26.94,29.24,South Africa
Johannesburg,-26.17,28.03,South Africa
Kuruman,-27.45,23.42,South Africa
Paarl,-33.70,18.96,South Africa
Worcester,-33.64,19.44,South Africa
Colesberg,-30.72,25.10,South Africa
Umtata,-31.58,28.79,South Africa
Aliwal North,-30.69,26.71,South Africa
Middelburg,-25.76,29.47,South Africa
Springs,-26.27,28.43,South Africa
Benoni,-26.15,28.33,South Africa
Port Shepstone,-30.72,30.46,South Africa
Oudtshoorn,-33.58,22.19,South Africa
Port Elizabeth,-33.97,25.60,South Africa
Port Alfred,-33.60,26.88,South Africa
East London,-32.97,27.87,South Africa
Mossel Bay,-34.17,22.13,South Africa
Vryburg,-26.96,24.73,South Africa
Uitenhage,-33.76,25.39,South Africa
Bhisho,-32.87,27.39,South Africa
Knysna,-34.03,23.03,South Africa
Queenstown,-31.90,26.88,South Africa
Cradock,-32.20,25.61,South Africa
Bredasdorp,-34.53,20.03,South Africa
Swellendam,-34.02,20.43,South Africa
Ladysmith,-28.55,29.78,South Africa
George,-33.95,22.45,South Africa
Grahamstown,-33.30,26.52,South Africa
Mmabatho,-25.83,25.61,South Africa
Mahikeng,-25.87,25.64,South Africa
Bloemfontein,-29.12,26.23,South Africa
Cape Town,-33.92,18.44,South Africa
Zambezi,-13.54,23.11,Zambia
Solwezi,-12.18,26.40,Zambia
Lusaka,-15.42,28.28,Zambia
Kaoma,-14.78,24.80,Zambia
Chipata,-13.63,32.64,Zambia
Senanga,-16.12,23.27,Zambia
Sesheke,-17.47,24.30,Zambia
Chililabombwe,-12.37,27.82,Zambia
Chingola,-12.54,27.85,Zambia
Kasempa,-13.46,25.82,Zambia
Kitwe,-12.81,28.22,Zambia
Mufulira,-12.55,28.26,Zambia
Nchelenge,-9.35,28.73,Zambia
Mazabuka,-15.86,27.76,Zambia
Lukulu,-14.39,23.24,Zambia
Kafue,-15.78,28.18,Zambia
Lundazi,-12.29,33.17,Zambia
Mansa,-11.20,28.89,Zambia
Mwinilunga,-11.74,24.44,Zambia
Mumbwa,-14.98,27.07,Zambia
Kalabo,-14.99,22.68,Zambia
Nyimba,-14.55,30.81,Zambia
Kapiri Mposhi,-13.97,28.66,Zambia
Kabwe,-14.44,28.45,Zambia
Ndola,-13.00,28.65,Zambia
Kasama,-10.20,31.18,Zambia
Mbala,-8.84,31.37,Zambia
Kawambwa,-9.78,29.08,Zambia
Luanshya,-13.13,28.40,Zambia
Mongu,-15.28,23.12,Zambia
Mpika,-11.83,31.46,Zambia
Chinsali,-10.55,32.06,Zambia
Livingstone,-17.86,25.86,Zambia
Choma,-16.81,26.97,Zambia
Plumtree,-20.48,27.82,Zimbabwe
Kariba,-16.53,28.80,Zimbabwe
Hwange,-18.37,26.50,Zimbabwe
Chiredzi,-21.05,31.66,Zimbabwe
Mazowe,-17.52,30.97,Zimbabwe
Zvishavane,-20.33,30.05,Zimbabwe
Shamva,-17.32,31.57,Zimbabwe
Harare,-17.82,31.04,Zimbabwe
Kwekwe,-18.93,29.80,Zimbabwe
Kadoma,-18.33,29.91,Zimbabwe
Gwanda,-20.94,29.01,Zimbabwe
Chinhoyi,-17.36,30.18,Zimbabwe
Beitbridge,-22.21,29.99,Zimbabwe
Mutare,-18.97,32.65,Zimbabwe
Gweru,-19.45,29.82,Zimbabwe
Karoi,-16.82,29.68,Zimbabwe
Masvingo,-20.06,30.82,Zimbabwe
Bulawayo,-20.17,28.58,Zimbabwe
